date;home_team;away_team;home_score;away_score;competition;stadium;city;country;neutral;world_cup;season;avg_temp_c;min_temp_c;max_temp_c;precipitation_mm;snow_depth_mm;avg_wind_dir_deg;avg_wind_speed_kmh;peak_wind_gust_kmh;avg_sea_level_pres_hpa
2019-02-10;England;France;44;8;2019 Six Nations Championship;Twickenham;London;England;FALSE;FALSE;Winter;5.8;4.2;7.8;1.5;;248.0;17.7;52.0;997.8
2019-02-09;Italy;Wales;15;26;2019 Six Nations;Stadio Olimpico;Rome;Italy;FALSE;FALSE;Winter;9.4;3.7;14.0;;;140.0;6.5;;1021.7
2019-02-09;Scotland;Ireland;13;22;2019 Six Nations Championship;Murrayfield Stadium;Edinburgh;Scotland;FALSE;FALSE;Winter;6.1;2.3;9.7;9.7;;257.0;37.2;78.0;978.9
2019-02-02;Scotland;Italy;33;20;2019 Six Nations Championship;Murrayfield;Edinburgh;Scotland;FALSE;FALSE;Winter;-0.6;-5.2;3.3;0.0;;291.0;9.3;25.9;1010.1
2019-02-02;Ireland;England;20;32;2019 Six Nations Championship;Aviva Stadium;Dublin;Ireland;FALSE;FALSE;Winter;0.4;-2.4;5.4;0.0;;278.0;17.0;35.2;1013.8
2019-02-01;France;Wales;19;24;2019 Six Nations Championship;Stade de France;Paris;France;FALSE;FALSE;Winter;5.1;1.6;7.2;18.7;;169.0;8.1;31.5;987.0
2018-11-24;Wales;South Africa;20;11;2018 end-of-year test;Millennium Stadium;Cardiff;Wales;FALSE;FALSE;;;;;;;;;;
2018-11-24;Scotland;Argentina;14;9;2018 Autumn International;Murrayfield Stadium;Edinburgh;Scotland;FALSE;FALSE;Autumn;5.7;3.4;7.1;3.3;;19.0;10.7;22.2;1016.9
2018-11-24;Italy;New Zealand;3;66;2018 end-of-year internationals;Stadio Olimpico;Rome;Italy;FALSE;FALSE;Autumn;16.6;16.0;17.4;;;156.0;18.7;;1015.6
2018-11-24;England;Australia;37;18;2018 Autumn International;Twickenham Stadium;London;England;FALSE;FALSE;Autumn;8.3;7.6;9.3;0.0;;58.0;14.2;29.6;1009.8
2018-11-17;France;Argentina;28;13;2018 Autumn International;Stade Pierre-Mauroy;Lille;France;FALSE;FALSE;Autumn;5.1;0.9;9.2;0.3;;55.0;14.6;38.9;1027.3
2018-11-17;Ireland;New Zealand;16;9;2018 Autumn International;Aviva Stadium;Dublin;Ireland;FALSE;FALSE;Autumn;10.7;11.8;12.4;0.0;;120.0;18.3;37.0;1023.9
2018-11-17;Scotland;South Africa;20;26;2018 Autumn International;Murrayfield;Edinburgh;Scotland;FALSE;FALSE;Autumn;9.1;7.3;10.2;0.0;;117.0;21.5;31.5;1031.2
2018-11-17;Italy;Australia;7;26;2018 Autumn International;Stadio Euganeo;Padova;Italy;FALSE;FALSE;;;;;;;;;;
